

Run Date,Action,Symbol,Description,Type,Exchange Quantity,Exchange Currency,Currency,Price,Quantity,Exchange Rate,Commission,Fees,Accrued Interest,Amount,Cash Balance,Settlement Date
07/07/2026,REINVESTMENT as of 2026-07-06 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,27.68,0.056,0,"","","","-1.55",8.56,""
07/07/2026,DIVIDEND RECEIVED as of 2026-07-06 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.55,10.11,""
07/06/2026,YOU BOUGHT TENCENT MUSIC ENTERTAINMENT GROUP SP... (TME) (Cash),TME,TENCENT MUSIC ENTERTAINMENT GROUP SPON ADS EACH REP 2 ORD SHS CL A,Cash,0,"",USD,8.81,16,0,"","","","-140.96",8.56,07/07/2026
07/02/2026,DISTRIBUTION CROWDSTRIKE HLDGS INC CL A (CRWD) (Cash),CRWD,CROWDSTRIKE HLDGS INC CL A,Cash,0,"",USD,"",3,0,"","","",581.94,149.52,""
07/01/2026,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),"",No Description,Cash,0,"",USD,"",0,0,"","","",141.66,149.52,""
06/30/2026,REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),FDRXX,FIDELITY GOVERNMENT CASH RESERVES,Cash,0,"",USD,1,0.14,0,"","","","-0.14",7.86,""
06/30/2026,DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),FDRXX,FIDELITY GOVERNMENT CASH RESERVES,Cash,0,"",USD,"",0,0,"","","",0.14,7.86,""
06/29/2026,REINVESTMENT as of 2026-06-26 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,26.41,0.055,0,"","","","-1.45",7.72,""
06/29/2026,DIVIDEND RECEIVED as of 2026-06-26 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.45,9.17,""
06/25/2026,REINVESTMENT PAYPAL HLDGS INC COM (PYPL) (Cash),PYPL,PAYPAL HLDGS INC COM,Cash,0,"",USD,42.55,0.01,0,"","","","-0.42",7.72,""
06/25/2026,DIVIDEND RECEIVED PAYPAL HLDGS INC COM (PYPL) (Cash),PYPL,PAYPAL HLDGS INC COM,Cash,0,"",USD,"",0,0,"","","",0.42,8.14,""
06/24/2026,YOU BOUGHT DLOCAL LTD COM USD0.002 CL A (DLO) (Cash),DLO,DLOCAL LTD COM USD0.002 CL A,Cash,0,"",USD,12.34,17,0,"","","","-209.7",7.72,06/25/2026
06/23/2026,REINVESTMENT as of 2026-06-22 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,28.13,0.054,0,"","","","-1.51",217.42,""
06/23/2026,DIVIDEND RECEIVED as of 2026-06-22 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.51,218.93,""
06/22/2026,FEE CHARGED TENCENT HOLDINGS LIMITED UNSPON ADR (TCEHY) (Cash),TCEHY,TENCENT HOLDINGS LIMITED UNSPON ADR,Cash,0,"",USD,"",0,0,"","","","-8.75",217.42,""
06/22/2026,DIVIDEND RECEIVED TENCENT HOLDINGS LIMITED UNSPON ADR (TCEHY) (Cash),TCEHY,TENCENT HOLDINGS LIMITED UNSPON ADR,Cash,0,"",USD,"",0,0,"","","",84.36,226.17,""
06/16/2026,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),"",No Description,Cash,0,"",USD,"",0,0,"","","",141.66,141.81,""
06/15/2026,REINVESTMENT as of 2026-06-12 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,27.79,0.051,0,"","","","-1.43",0.15,""
06/15/2026,DIVIDEND RECEIVED as of 2026-06-12 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.43,1.58,""
06/15/2026,REINVESTMENT GARRETT MOTION INC COM USD0.001 (GTX) (Cash),GTX,GARRETT MOTION INC COM USD0.001,Cash,0,"",USD,33.89,0.002,0,"","","","-0.08",0.15,""
06/15/2026,DIVIDEND RECEIVED GARRETT MOTION INC COM USD0.001 (GTX) (Cash),GTX,GARRETT MOTION INC COM USD0.001,Cash,0,"",USD,"",0,0,"","","",0.08,0.23,""
06/15/2026,REINVESTMENT EPR PROPERTIES SBI USD0.01 (EPR) (Cash),EPR,EPR PROPERTIES SBI USD0.01,Cash,0,"",USD,60.45,0.01,0,"","","","-0.63",0.15,""
06/15/2026,DIVIDEND RECEIVED EPR PROPERTIES SBI USD0.01 (EPR) (Cash),EPR,EPR PROPERTIES SBI USD0.01,Cash,0,"",USD,"",0,0,"","","",0.63,0.78,""
06/12/2026,REINVESTMENT as of 2026-06-10 DLOCAL LTD COM USD0.002 CL A (DLO) (Cash),DLO,DLOCAL LTD COM USD0.002 CL A,Cash,0,"",USD,12.11,8.297,0,"","","","-100.5",0.15,""
06/12/2026,DIVIDEND RECEIVED as of 2026-06-10 DLOCAL LTD COM USD0.002 CL A (DLO) (Cash),DLO,DLOCAL LTD COM USD0.002 CL A,Cash,0,"",USD,"",0,0,"","","",100.5,100.65,""
06/08/2026,REINVESTMENT as of 2026-06-05 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,28.35,0.065,0,"","","","-1.85",0.15,""
06/08/2026,DIVIDEND RECEIVED as of 2026-06-05 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.85,2,""
06/04/2026,REINVESTMENT CLIPPER RLTY INC COM (CLPR) (Cash),CLPR,CLIPPER RLTY INC COM,Cash,0,"",USD,3.29,0.088,0,"","","","-0.29",0.15,""
06/04/2026,DIVIDEND RECEIVED CLIPPER RLTY INC COM (CLPR) (Cash),CLPR,CLIPPER RLTY INC COM,Cash,0,"",USD,"",0,0,"","","",0.29,0.44,""
06/01/2026,REINVESTMENT as of 2026-05-29 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,30.61,0.066,0,"","","","-2.02",0.15,""
06/01/2026,DIVIDEND RECEIVED as of 2026-05-29 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",2.02,2.17,""
06/01/2026,YOU BOUGHT UP FINTECH HOLDING LIMITED SPON ADS ... (TIGR) (Cash),TIGR,UP FINTECH HOLDING LIMITED SPON ADS EACH REP 15 ORD SHS CL A,Cash,0,"",USD,5.09,28,0,"","","","-142.52",0.15,06/02/2026
05/29/2026,REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),FDRXX,FIDELITY GOVERNMENT CASH RESERVES,Cash,0,"",USD,1,0.09,0,"","","","-0.09",142.67,""
05/29/2026,DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),FDRXX,FIDELITY GOVERNMENT CASH RESERVES,Cash,0,"",USD,"",0,0,"","","",0.09,142.67,""
05/29/2026,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),"",No Description,Cash,0,"",USD,"",0,0,"","","",141.66,142.58,""
05/26/2026,REINVESTMENT as of 2026-05-22 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,30.49,0.049,0,"","","","-1.48",0.92,""
05/26/2026,DIVIDEND RECEIVED as of 2026-05-22 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.48,2.4,""
05/20/2026,YOU BOUGHT PAYPAL HLDGS INC COM (PYPL) (Cash),PYPL,PAYPAL HLDGS INC COM,Cash,0,"",USD,43,3,0,"","","","-129",0.92,05/21/2026
05/20/2026,YOU BOUGHT BUMBLE INC COM CL A (BMBL) (Cash),BMBL,BUMBLE INC COM CL A,Cash,0,"",USD,3.1,4,0,"","","","-12.4",129.92,05/21/2026
05/18/2026,REINVESTMENT as of 2026-05-15 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,30.61,0.086,0,"","","","-2.62",142.32,""
05/18/2026,DIVIDEND RECEIVED as of 2026-05-15 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",2.62,144.94,""
05/18/2026,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),"",No Description,Cash,0,"",USD,"",0,0,"","","",141.66,142.32,""
05/15/2026,REINVESTMENT EPR PROPERTIES SBI USD0.01 (EPR) (Cash),EPR,EPR PROPERTIES SBI USD0.01,Cash,0,"",USD,58.36,0.011,0,"","","","-0.63",0.66,""
05/15/2026,DIVIDEND RECEIVED EPR PROPERTIES SBI USD0.01 (EPR) (Cash),EPR,EPR PROPERTIES SBI USD0.01,Cash,0,"",USD,"",0,0,"","","",0.63,1.29,""
05/11/2026,REINVESTMENT as of 2026-05-08 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,31.23,0.054,0,"","","","-1.7",0.66,""
05/11/2026,DIVIDEND RECEIVED as of 2026-05-08 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.7,2.36,""
05/11/2026,YOU BOUGHT MOBILEYE GLOBAL INC COMMON CLASS A (MBLY) (Cash),MBLY,MOBILEYE GLOBAL INC COMMON CLASS A,Cash,0,"",USD,9.21,1,0,"","","","-9.21",0.66,05/12/2026
05/04/2026,REINVESTMENT as of 2026-05-01 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,29.69,0.05,0,"","","","-1.49",9.87,""
05/04/2026,DIVIDEND RECEIVED as of 2026-05-01 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.49,11.36,""
05/04/2026,YOU BOUGHT ROBLOX CORP CL A (RBLX) (Cash),RBLX,ROBLOX CORP CL A,Cash,0,"",USD,47.08,3,0,"","","","-141.24",9.87,05/05/2026
04/30/2026,REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),FDRXX,FIDELITY GOVERNMENT CASH RESERVES,Cash,0,"",USD,1,0.03,0,"","","","-0.03",151.11,""
04/30/2026,DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),FDRXX,FIDELITY GOVERNMENT CASH RESERVES,Cash,0,"",USD,"",0,0,"","","",0.03,151.11,""
04/30/2026,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),"",No Description,Cash,0,"",USD,"",0,0,"","","",141.66,151.08,""
04/27/2026,REINVESTMENT as of 2026-04-24 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,29.08,0.05,0,"","","","-1.46",9.42,""
04/27/2026,DIVIDEND RECEIVED as of 2026-04-24 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.46,10.88,""
04/21/2026,YOU BOUGHT BYD CO UNSP ADR EACH REPR 2 ORD (BYDDY) (Cash),BYDDY,BYD CO UNSP ADR EACH REPR 2 ORD,Cash,0,"",USD,13.83,10,0,"","","","-138.31",9.42,04/22/2026
04/21/2026,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),"",No Description,Cash,0,"",USD,"",0,0,"","","",141.66,147.73,""
04/20/2026,REINVESTMENT as of 2026-04-17 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,30.91,0.042,0,"","","","-1.3",6.07,""
04/20/2026,DIVIDEND RECEIVED as of 2026-04-17 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.3,7.37,""
04/15/2026,REINVESTMENT OCCIDENTAL PETE CORP COM (OXY) (Cash),OXY,OCCIDENTAL PETE CORP COM,Cash,0,"",USD,55.6,0.049,0,"","","","-2.7",6.07,""
04/15/2026,DIVIDEND RECEIVED OCCIDENTAL PETE CORP COM (OXY) (Cash),OXY,OCCIDENTAL PETE CORP COM,Cash,0,"",USD,"",0,0,"","","",2.7,8.77,""
04/15/2026,REINVESTMENT EPR PROPERTIES SBI USD0.01 (EPR) (Cash),EPR,EPR PROPERTIES SBI USD0.01,Cash,0,"",USD,55.73,0.011,0,"","","","-0.62",6.07,""
04/15/2026,DIVIDEND RECEIVED EPR PROPERTIES SBI USD0.01 (EPR) (Cash),EPR,EPR PROPERTIES SBI USD0.01,Cash,0,"",USD,"",0,0,"","","",0.62,6.69,""
04/13/2026,REINVESTMENT as of 2026-04-10 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,27.81,0.045,0,"","","","-1.25",6.07,""
04/13/2026,DIVIDEND RECEIVED as of 2026-04-10 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.25,7.32,""
04/09/2026,YOU BOUGHT NU HOLDINGS LTD USD0.000006666666 CL... (NU) (Cash),NU,NU HOLDINGS LTD USD0.000006666666 CLASS A,Cash,0,"",USD,14.55,1,0,"","","","-14.55",6.07,04/10/2026
04/07/2026,REINVESTMENT as of 2026-04-06 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,28.73,0.043,0,"","","","-1.24",20.62,""
04/07/2026,DIVIDEND RECEIVED as of 2026-04-06 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.24,21.86,""
03/31/2026,REINVESTMENT WESTERN UNION CO (WU) (Cash),WU,WESTERN UNION CO,Cash,0,"",USD,8.77,0.107,0,"","","","-0.94",20.62,""
03/31/2026,DIVIDEND RECEIVED WESTERN UNION CO (WU) (Cash),WU,WESTERN UNION CO,Cash,0,"",USD,"",0,0,"","","",0.94,21.56,""
03/31/2026,REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),FDRXX,FIDELITY GOVERNMENT CASH RESERVES,Cash,0,"",USD,1,10.76,0,"","","","-10.76",20.62,""
03/31/2026,DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),FDRXX,FIDELITY GOVERNMENT CASH RESERVES,Cash,0,"",USD,"",0,0,"","","",10.76,20.62,""
03/31/2026,YOU SOLD WESTERN UNION CO (WU) (Cash),WU,WESTERN UNION CO,Cash,0,"",USD,8.77,"-0.107",0,"","","",0.94,9.86,04/01/2026
03/31/2026,YOU SOLD WESTERN UNION CO (WU) (Cash),WU,WESTERN UNION CO,Cash,0,"",USD,8.77,"-4",0,"","","",35.06,8.92,04/01/2026
03/31/2026,YOU SOLD MIND C.T.I COM STK ILS0.01 (MNDO) (Cash),MNDO,MIND C.T.I COM STK ILS0.01,Cash,0,"",USD,1.16,"-36",0,"","","",41.79,"-26.14",04/01/2026
03/31/2026,YOU BOUGHT DLOCAL LTD COM USD0.002 CL A (DLO) (Cash),DLO,DLOCAL LTD COM USD0.002 CL A,Cash,0,"",USD,13.16,16,0,"","","","-210.48","-67.93",04/01/2026
03/31/2026,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),"",No Description,Cash,0,"",USD,"",0,0,"","","",141.66,142.55,""
03/30/2026,REINVESTMENT as of 2026-03-27 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,29.33,0.043,0,"","","","-1.25",0.89,""
03/30/2026,DIVIDEND RECEIVED as of 2026-03-27 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.25,2.14,""
03/24/2026,YOU SOLD SHIFT4 PMTS INC CL A (FOUR) (Cash),FOUR,SHIFT4 PMTS INC CL A,Cash,0,"",USD,48.69,"-100",0,"","","",4868.5,0.89,03/25/2026
03/24/2026,YOU BOUGHT CLIPPER RLTY INC COM (CLPR) (Cash),CLPR,CLIPPER RLTY INC COM,Cash,0,"",USD,3.15,1,0,"","","","-3.15","-4867.61",03/25/2026
03/24/2026,YOU BOUGHT DLOCAL LTD COM USD0.002 CL A (DLO) (Cash),DLO,DLOCAL LTD COM USD0.002 CL A,Cash,0,"",USD,12.76,391,0,"","","","-4990.57","-4864.46",03/25/2026
03/24/2026,YOU BOUGHT DLOCAL LTD COM USD0.002 CL A (DLO) (Cash),DLO,DLOCAL LTD COM USD0.002 CL A,Cash,0,"",USD,12.78,2,0,"","","","-25.56",126.11,03/25/2026
03/23/2026,REINVESTMENT as of 2026-03-20 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,30.02,0.043,0,"","","","-1.29",151.67,""
03/23/2026,DIVIDEND RECEIVED as of 2026-03-20 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.29,152.96,""
03/23/2026,ASSIGNED as of 2026-03-20 PUT (FOUR) SHIFT4 PMTS INC CL AMAR 20 26 $50 (100 SHS) (Cash)," -FOUR260320P50",PUT (FOUR) SHIFT4 PMTS INC CL AMAR 20 26 $50 (100 SHS),Cash,0,"",USD,"",1,0,"","","",0.00,151.67,""
03/23/2026,YOU BOUGHT ASSIGNED PUTS AS OF 03-20-26 SHIFT4 PMTS INC CL A (FOUR) (Cash),FOUR,SHIFT4 PMTS INC CL A,Cash,0,"",USD,50,100,0,"","","","-5000",151.67,03/23/2026
03/19/2026,REINVESTMENT CLIPPER RLTY INC COM (CLPR) (Cash),CLPR,CLIPPER RLTY INC COM,Cash,0,"",USD,3.03,0.063,0,"","","","-0.19",5151.67,""
03/19/2026,DIVIDEND RECEIVED CLIPPER RLTY INC COM (CLPR) (Cash),CLPR,CLIPPER RLTY INC COM,Cash,0,"",USD,"",0,0,"","","",0.19,5151.86,""
03/16/2026,REINVESTMENT as of 2026-03-13 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,31.68,0.042,0,"","","","-1.33",5151.67,""
03/16/2026,DIVIDEND RECEIVED as of 2026-03-13 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.33,5153,""
03/16/2026,REINVESTMENT GARRETT MOTION INC COM USD0.001 (GTX) (Cash),GTX,GARRETT MOTION INC COM USD0.001,Cash,0,"",USD,17.47,0.005,0,"","","","-0.08",5151.67,""
03/16/2026,DIVIDEND RECEIVED GARRETT MOTION INC COM USD0.001 (GTX) (Cash),GTX,GARRETT MOTION INC COM USD0.001,Cash,0,"",USD,"",0,0,"","","",0.08,5151.75,""
03/16/2026,REINVESTMENT EPR PROPERTIES SBI USD0.01 (EPR) (Cash),EPR,EPR PROPERTIES SBI USD0.01,Cash,0,"",USD,56.05,0.011,0,"","","","-0.59",5151.67,""
03/16/2026,DIVIDEND RECEIVED EPR PROPERTIES SBI USD0.01 (EPR) (Cash),EPR,EPR PROPERTIES SBI USD0.01,Cash,0,"",USD,"",0,0,"","","",0.59,5152.26,""
03/13/2026,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),"",No Description,Cash,0,"",USD,"",0,0,"","","",141.66,5151.67,""
03/09/2026,REINVESTMENT as of 2026-03-06 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,31.97,0.043,0,"","","","-1.37",5010.01,""
03/09/2026,DIVIDEND RECEIVED as of 2026-03-06 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.37,5011.38,""
03/02/2026,REINVESTMENT as of 2026-02-27 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,32.35,0.045,0,"","","","-1.44",5010.01,""
03/02/2026,DIVIDEND RECEIVED as of 2026-02-27 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.44,5011.45,""
03/02/2026,YOU BOUGHT NU HOLDINGS LTD USD0.000006666666 CL... (NU) (Cash),NU,NU HOLDINGS LTD USD0.000006666666 CLASS A,Cash,0,"",USD,14.83,9,0,"","","","-133.47",5010.01,03/03/2026
03/02/2026,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),"",No Description,Cash,0,"",USD,"",0,0,"","","",141.66,5143.48,""
02/27/2026,REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),FDRXX,FIDELITY GOVERNMENT CASH RESERVES,Cash,0,"",USD,1,1.28,0,"","","","-1.28",5001.82,""
02/27/2026,DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),FDRXX,FIDELITY GOVERNMENT CASH RESERVES,Cash,0,"",USD,"",0,0,"","","",1.28,5001.82,""
02/26/2026,YOU BOUGHT ZSCALER INC COM (ZS) (Cash),ZS,ZSCALER INC COM,Cash,0,"",USD,165.26,1,0,"","","","-165.26",5000.54,02/27/2026
02/26/2026,YOU SOLD OPENING TRANSACTION PUT (FOUR) SHIFT4 PMTS INC CL AMAR 20 26 $50 (100 SHS) (Cash)," -FOUR260320P50",PUT (FOUR) SHIFT4 PMTS INC CL AMAR 20 26 $50 (100 SHS),Cash,0,"",USD,3.5,"-1",0,0.65,0.02,"",349.33,5165.8,02/27/2026
02/26/2026,YOU BOUGHT HIMS &HERS HEALTH INC COM CL A (HIMS) (Cash),HIMS,HIMS &HERS HEALTH INC COM CL A,Cash,0,"",USD,15.65,20,0,"","","","-313.09",4816.47,02/27/2026
02/26/2026,YOU BOUGHT GITLAB INC CLASS A COM (GTLB) (Cash),GTLB,GITLAB INC CLASS A COM,Cash,0,"",USD,28.1,10,0,"","","","-280.97",5129.56,02/27/2026
02/26/2026,YOU BOUGHT CROWDSTRIKE HLDGS INC CL A (CRWD) (Cash),CRWD,CROWDSTRIKE HLDGS INC CL A,Cash,0,"",USD,382.56,1,0,"","","","-382.56",5410.53,02/27/2026
02/26/2026,YOU BOUGHT MIND C.T.I COM STK ILS0.01 (MNDO) (Cash),MNDO,MIND C.T.I COM STK ILS0.01,Cash,0,"",USD,1.22,35,0,"","","","-42.65",5793.09,02/27/2026
02/26/2026,YOU BOUGHT NU HOLDINGS LTD USD0.000006666666 CL... (NU) (Cash),NU,NU HOLDINGS LTD USD0.000006666666 CLASS A,Cash,0,"",USD,15.38,88,0,"","","","-1353.44",5835.74,02/27/2026
02/26/2026,YOU BOUGHT DLOCAL LTD COM USD0.002 CL A (DLO) (Cash),DLO,DLOCAL LTD COM USD0.002 CL A,Cash,0,"",USD,12.7,5,0,"","","","-63.48",7189.18,02/27/2026
02/26/2026,TRANSFERRED FROM ServiceNow HSA Bulk (Cash),"",No Description,Cash,0,"",USD,"",0,0,"","","",7248.27,7252.66,""
02/23/2026,REINVESTMENT as of 2026-02-20 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,33.06,0.044,0,"","","","-1.46",4.39,""
02/23/2026,DIVIDEND RECEIVED as of 2026-02-20 TIDAL TRUST II YIELD TSLA ETF (TSLY) (Cash),TSLY,TIDAL TRUST II YIELD TSLA ETF,Cash,0,"",USD,"",0,0,"","","",1.46,5.85,""
